"filename", "language", "JSON", "Markdown", "XML", "Ignore", "Properties", "Batch", "HTML", "Java", "YAML", "Shell Script", "comment", "blank", "total"
"d:\BOA\Dev\jirama\.jhipster\BillerT.json", "JSON", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 86
"d:\BOA\Dev\jirama\.jhipster\ParamFiliale.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"d:\BOA\Dev\jirama\.jhipster\Tracking.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"d:\BOA\Dev\jirama\.jhipster\TransactionGlobal.json", "JSON", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"d:\BOA\Dev\jirama\.mvn\wrapper\MavenWrapperDownloader.java", "Java", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 31, 11, 118
"d:\BOA\Dev\jirama\.mvn\wrapper\maven-wrapper.properties", "Properties", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"d:\BOA\Dev\jirama\.prettierignore", "Ignore", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\BOA\Dev\jirama\.prettierrc", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\BOA\Dev\jirama\.yo-rc.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"d:\BOA\Dev\jirama\README.md", "Markdown", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 102
"d:\BOA\Dev\jirama\checkstyle.xml", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 8, 1, 21
"d:\BOA\Dev\jirama\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 51, 36, 183
"d:\BOA\Dev\jirama\package-lock.json", "JSON", 7138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7139
"d:\BOA\Dev\jirama\package.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\BOA\Dev\jirama\pom.xml", "XML", 0, 0, 938, 0, 0, 0, 0, 0, 0, 0, 58, 11, 1007
"d:\BOA\Dev\jirama\sonar-project.properties", "Properties", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 5, 29
"d:\BOA\Dev\jirama\src\main\docker\app.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"d:\BOA\Dev\jirama\src\main\docker\grafana\provisioning\dashboards\JVM.json", "JSON", 3778, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3779
"d:\BOA\Dev\jirama\src\main\docker\grafana\provisioning\dashboards\dashboard.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"d:\BOA\Dev\jirama\src\main\docker\grafana\provisioning\datasources\datasource.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 20, 3, 51
"d:\BOA\Dev\jirama\src\main\docker\monitoring.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 4, 1, 27
"d:\BOA\Dev\jirama\src\main\docker\prometheus\prometheus.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 15, 5, 32
"d:\BOA\Dev\jirama\src\main\docker\sonar.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\ApplicationWebXml.java", "Java", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 7, 5, 23
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\JiramaApp.java", "Java", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 12, 12, 99
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\aop\logging\LoggingAspect.java", "Java", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 26, 14, 100
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\ApplicationProperties.java", "Java", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 6, 7, 25
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\AsyncConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 9, 48
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\CacheConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 13, 62
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\CloudDatabaseConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 9, 29
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\Constants.java", "Java", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 5, 18
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\DatabaseConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 6, 22
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\DateTimeFormatConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 4, 21
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\JacksonConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 16, 10, 62
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\LiquibaseConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 2, 9, 61
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\LocaleConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 6, 28
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\LoggingAspectConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 6, 20
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\LoggingConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 3, 10, 51
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\SecurityConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 51, 8, 99
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\WebConfigurer.java", "Java", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 11, 9, 58
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\audit\AuditEventConverter.java", "Java", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 26, 11, 87
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\audit\package-info.java", "Java", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 5
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\package-info.java", "Java", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 5
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\AbstractAuditingEntity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 4, 17, 78
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\Authority.java", "Java", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 3, 10, 61
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\BillerT.java", "Java", 0, 0, 0, 0, 0, 0, 0, 265, 0, 0, 5, 79, 349
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\ParamFiliale.java", "Java", 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 5, 35, 160
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\PersistentAuditEvent.java", "Java", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 5, 22, 108
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\Tracking.java", "Java", 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 5, 43, 195
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\TransactionGlobal.java", "Java", 0, 0, 0, 0, 0, 0, 0, 297, 0, 0, 5, 90, 392
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\User.java", "Java", 0, 0, 0, 0, 0, 0, 0, 180, 0, 0, 4, 48, 232
