id;code_filiale;designation_pays;end_point;status;date_cre;end_point_compte
1;Concrete;Refined;Wyoming USB Toys;true;2019-12-25T13:49:09;salmon
2;Vermont Industrial;Facilitator;Massachusetts;false;2019-12-26T01:14:59;Bedfordshire
3;Dynamic multimedia Dynamic;context-sensitive;killer Operations Sleek Steel Gloves;false;2019-12-26T09:55:04;Ergonomic Cotton Shirt quantify payment
4;Rustic Movies;deposit;Saudi Arabia Saint Helena Somalia;false;2019-12-26T02:56:12;Cape Verde Baby 1080p
5;connect Borders;Agent;Jewelery;false;2019-12-25T17:17:06;Interactions functionalities markets
6;Cambridgeshire;Pants;real-time hacking Chicken;false;2019-12-25T18:03:38;value-added Alabama Concrete
7;Lake firewall Data;grey Wallis and Futuna;Optional optimal;true;2019-12-26T01:07:26;Shoes didactic
8;New York alarm;Consultant Bahrain Buckinghamshire;Stand-alone revolutionize;true;2019-12-25T23:30:04;black synthesize scale
9;e-markets Representative;flexibility;navigating seize Developer;false;2019-12-26T02:30:36;directional overriding Monitored
10;Buckinghamshire array open architecture;deposit black;out-of-the-box Tennessee;false;2019-12-26T00:59:53;Pound Sterling
